country,location,page,product_type,property_type_x,sort,created_unix,title,property_type_y,lister_name,listing_type,price,price_currency,price_high,price_low,price_type,commission,latitude,longitude,location_accuracy,construction_year,keywords,bathroom_number,bedroom_number,car_spaces,summary,updated_in_days,dt,latitude_longtitude
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Queen Square, North Curry, Taunton, Somerset, TA3",house,Stags,buy,450000.0,£,450000.0,450000.0,fixed,0,51.0228,-2.97205,9,0,"Detached, Garden, No Chain, Double Bedroom, Parking, Reception",,3,0,A most village house situated in a conservation area overlooking a ...,2,2019-06-17 16:02:11,"{'latitude': 51.0228, 'longitude': -2.97205}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Manor Farm, Forton, Chard, Somerset, TA20",house,Greenslade Taylor Hunt,buy,775000.0,£,775000.0,775000.0,fixed,0,50.8586,-2.94579,9,0,"Detached, Freehold, Grade II, Conversion, Listed",,5,0,A contemporary conversion of this grade ii listed barn providing ve...,1,2019-06-17 16:02:11,"{'latitude': 50.8586, 'longitude': -2.94579}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Whittington Drive, Somerset",house,,buy,219950.0,£,219950.0,219950.0,fixed,0,51.3604,-2.93822,9,0,"Detached, New Build, No Chain, Conservatory, Kitchen, Bungalow, Parking, Gas Central Heating",,2,0,One off design detached bungalow with accommodation comprising sitt...,1,2019-06-17 16:02:11,"{'latitude': 51.3604, 'longitude': -2.93822}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Vivary Gate, Upper High Street, Taunton, Somerset, TA1",flat,Greenslade Taylor Hunt,buy,88000.0,£,88000.0,88000.0,fixed,0,51.0117,-3.10403,9,0,,,2,0,A top floor 2 bedroom flat situated within this centrally located d...,2,2019-06-17 16:02:11,"{'latitude': 51.0117, 'longitude': -3.10403}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Farriers Green, Monkton Heathfield, Taunton, Somerset",house,,buy,280000.0,£,280000.0,280000.0,fixed,0,51.0328,-3.06172,9,0,"Detached, No Chain, Modern, Gas Central Heating",,3,0,Positioned within a highly sought-after development in monkton heat...,3,2019-06-17 16:02:11,"{'latitude': 51.0328, 'longitude': -3.06172}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Knighton Lane, Nr Stogursey, Bridgwater, Somerset, TA5",house,Greenslade Taylor Hunt,buy,475000.0,£,475000.0,475000.0,fixed,0,51.1931,-3.15598,9,0,"Detached, Freehold, Garage, Bungalow",,3,0,A detached bungalow set in a large plot and benefiting from a detac...,2,2019-06-17 16:02:11,"{'latitude': 51.1931, 'longitude': -3.15598}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Church Close, Lydeard St. Lawrence, Taunton, Somerset, TA4",house,Greenslade Taylor Hunt,buy,450000.0,£,450000.0,450000.0,fixed,0,51.0826,-3.24578,9,0,"Detached, Garden, Bungalow",,3,0,A ly situated detached bungalow enjoying an elevated position with ...,2,2019-06-17 16:02:11,"{'latitude': 51.0826, 'longitude': -3.24578}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Palmer Street, Weston-super-Mare, North Somerset. BS23",house,,buy,185000.0,£,185000.0,185000.0,fixed,0,51.349,-2.97713,9,0,"Garden, Terraced, Reception",,3,0,Well presented stone built terrace house. Three beds. Two reception...,1,2019-06-17 16:02:11,"{'latitude': 51.349, 'longitude': -2.97713}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Northfield, Bridgwater, Somerset",house,,buy,347500.0,£,347500.0,347500.0,fixed,0,51.1253,-3.01413,9,0,Victorian,,5,0,Located within one of the most prestigious and sought-after tree li...,3,2019-06-17 16:02:11,"{'latitude': 51.1253, 'longitude': -3.01413}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Milverton, Somerset - Modern",house,Gibbins Richards,buy,560000.0,£,560000.0,560000.0,fixed,0,51.0279,-3.25856,9,0,"Detached, Bungalow, Modern",,4,0,A modern and detached bungalow which sits on its own plot of over h...,2,2019-06-17 16:02:11,"{'latitude': 51.0279, 'longitude': -3.25856}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Royal Drive, Bridgwater, Somerset, TA6",house,Greenslade Taylor Hunt,buy,189950.0,£,189950.0,189950.0,fixed,0,51.1492,-2.98315,9,0,"Freehold, Garden, Semi-Detached, Parking",,3,0,A well presented three bed semi-detached house with a south westerl...,3,2019-06-17 16:02:11,"{'latitude': 51.1492, 'longitude': -2.98315}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Quantock Crt, Sth.Esplanade, Burnham-on-Sea, Somerset",flat,,buy,239950.0,£,239950.0,239950.0,fixed,0,51.2306,-3.00068,9,0,"Penthouse, Purpose Built",,3,0,A purpose built penthouse apartment standing to the south side of b...,2,2019-06-17 16:02:11,"{'latitude': 51.2306, 'longitude': -3.00068}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Pound Hill, Donyatt, Ilminster, Somerset, TA19",house,Greenslade Taylor Hunt,buy,239950.0,£,239950.0,239950.0,fixed,0,50.924,-2.94725,9,0,"Freehold, Semi-Detached, Cottage",,3,0,"Situated in an elevated position with extensive views to the front,...",2,2019-06-17 16:02:11,"{'latitude': 50.924, 'longitude': -2.94725}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Church Lane, Brent Knoll, Somerset",house,,buy,275000.0,£,275000.0,275000.0,fixed,0,51.2505,-2.95445,9,0,Semi-Detached,,2,0,A well presented 2 bed semi detached property within close proximit...,2,2019-06-17 16:02:11,"{'latitude': 51.2505, 'longitude': -2.95445}"
uk,somerset,1,realestate,property,nestoria_rank,1560787331,"Leach Road, Chard, Somerset, TA20",flat,Greenslade Taylor Hunt,buy,134950.0,£,134950.0,134950.0,fixed,0,50.8849,-2.95255,9,0,"Conversion, Parking",,2,0,"Prices starting from £134,950 for a 2 bedroom apartment with 2 park...",2,2019-06-17 16:02:11,"{'latitude': 50.8849, 'longitude': -2.95255}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"School Lane, Blackford, Wedmore, Somerset, BS28",house,Knight Frank,buy,699999.0,£,699999.0,699999.0,fixed,0,51.22429,-2.846624,9,0,Detached,,4,0,"Unique property with commercial and residential uses, near wedmore....",2,2019-06-17 16:02:15,"{'latitude': 51.22429, 'longitude': -2.846624}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Orchard Rise, Chard, Somerset, TA20",house,Greenslade Taylor Hunt,buy,175000.0,£,175000.0,175000.0,fixed,0,50.863453,-2.955406,9,0,"Semi-Detached, Double Bedroom, Kitchen, Bungalow",,1,0,Last plot remaining flooring included4 orchard rise the broadway is...,2,2019-06-17 16:02:15,"{'latitude': 50.863453, 'longitude': -2.955406}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Hele, Taunton, Somerset, TA4 - Garden",house,Stags,buy,299950.0,£,299950.0,299950.0,fixed,0,51.0117,-3.16322,9,0,"Garden, Semi-Detached, Fireplace, Garage, Kitchen, Cottage",,2,0,A two bedroom semi-detached cottage set in a rural location on the ...,4,2019-06-17 16:02:15,"{'latitude': 51.0117, 'longitude': -3.16322}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Worlebury Hill Road, Worlebury, Weston-super-Mare, North Somerset. BS22",house,,buy,500000.0,£,500000.0,500000.0,fixed,0,51.36,-2.95607,9,0,"Detached, Garden, Double Garage, Double Bedroom, Kitchen, Reception",,4,0,Detached house. Four double beds. Two reception rooms plus large ki...,2,2019-06-17 16:02:15,"{'latitude': 51.36, 'longitude': -2.95607}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Halcombe, Chard, Somerset, TA20",house,Greenslade Taylor Hunt,buy,205000.0,£,205000.0,205000.0,fixed,0,50.8643,-2.96325,9,0,Terraced,,4,0,A smart and 4 bedroom house on the outskirts of the town within eas...,2,2019-06-17 16:02:15,"{'latitude': 50.8643, 'longitude': -2.96325}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Statcombe, Listercombe Close, Ilminster, Somerset, TA19",house,Greenslade Taylor Hunt,buy,195000.0,£,195000.0,195000.0,fixed,0,50.9215,-2.90988,9,0,"Freehold, Garden, Semi-Detached, Parking",,2,0,"A high specification 2 double bedroomed semi-detached house, situat...",3,2019-06-17 16:02:15,"{'latitude': 50.9215, 'longitude': -2.90988}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Washford, Watchet, Somerset TA23",house,Wilkie May & Tuckwood,buy,199950.0,£,199950.0,199950.0,fixed,0,51.1608,-3.36048,9,0,"Garden, No Chain, Terraced, Garage, Cottage",,3,0,No onward chain a ly presented two/three bedroom end of terrace cot...,3,2019-06-17 16:02:15,"{'latitude': 51.1608, 'longitude': -3.36048}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Spencer Avenue, Taunton, Somerset, TA2",house,Greenslade Taylor Hunt,buy,275000.0,£,275000.0,275000.0,fixed,0,51.0264,-3.1089,9,0,"Freehold, Semi-Detached, No Chain",,3,0,A three bedroomed semi detached house occupying a corner location w...,4,2019-06-17 16:02:15,"{'latitude': 51.0264, 'longitude': -3.1089}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Montpelier, Weston-super-Mare, North Somerset. BS23",house,,buy,450000.0,£,450000.0,450000.0,fixed,0,51.351,-2.97065,9,0,"Garden, Semi-Detached, En suite, Victorian, Parking",,4,0,Victorian semi detached house. Character & charm in abundance. Four...,2,2019-06-17 16:02:15,"{'latitude': 51.351, 'longitude': -2.97065}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"St. Margarets Lane, South Chard, Chard, Somerset, TA20",house,Greenslade Taylor Hunt,buy,375000.0,£,375000.0,375000.0,fixed,0,50.8432,-2.95607,9,0,"Semi-Detached, Cottage",,4,0,A 4 bedroom character cottage in a glorious location in a residenti...,2,2019-06-17 16:02:15,"{'latitude': 50.8432, 'longitude': -2.95607}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Penny Lea, Watchet, Somerset TA23",house,Wilkie May & Tuckwood,buy,320000.0,£,320000.0,320000.0,fixed,0,51.1749,-3.32692,9,0,"Detached, Bungalow, Parking",,4,0,Good sized level plot an incredibly four bedroom detached 1950's bu...,3,2019-06-17 16:02:15,"{'latitude': 51.1749, 'longitude': -3.32692}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Churchstanton, Taunton, Somerset, TA3",land,Stags,buy,330000.0,£,330000.0,330000.0,fixed,0,50.9383,-3.14546,9,0,,,,0,"65 acres of pasture, conservation land and woodland with outstandin...",2,2019-06-17 16:02:15,"{'latitude': 50.9383, 'longitude': -3.14546}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"West Street, Seavington St Mary, Ilminster, Somerset, TA19",house,Greenslade Taylor Hunt,buy,295000.0,£,295000.0,295000.0,fixed,0,50.9296,-2.85705,9,0,"Detached, Double Bedroom, Cottage",,3,0,"A 3 double bedroom semi detached natural stone character cottage, s...",3,2019-06-17 16:02:15,"{'latitude': 50.9296, 'longitude': -2.85705}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Enmore, Bridgwater, Somerset, TA5",house,Stags,buy,695000.0,£,695000.0,695000.0,fixed,0,51.1171,-3.05324,9,0,"Detached, En suite, Kitchen, Cottage, Reception",,5,0,A period house with separate cottage and grounds of approximately 1...,5,2019-06-17 16:02:15,"{'latitude': 51.1171, 'longitude': -3.05324}"
uk,somerset,2,realestate,property,nestoria_rank,1560787335,"Station Road, St Georges, Weston-super-Mare, North Somerset. BS22",house,,buy,315000.0,£,315000.0,315000.0,fixed,0,51.3622,-2.89753,9,0,"Detached, No Chain, Refurbished, Kitchen, Bungalow, Parking",,3,0,Urbished throughout. Detached bungalow. St georges. Three beds. Lar...,2,2019-06-17 16:02:15,"{'latitude': 51.3622, 'longitude': -2.89753}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Spring Hill, Worle, Weston-super-Mare, North Somerset. BS22",house,,buy,275000.0,£,275000.0,275000.0,fixed,0,51.3584,-2.94576,9,0,"Detached, Garden, Garage",,3,0,Non estate. Detached house. Three beds. Large lounge/dining area. D...,2,2019-06-17 16:02:17,"{'latitude': 51.3584, 'longitude': -2.94576}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Hill End, Lower Kewstoke Road, Worle, Weston-super-Mare, North Somerset. BS22",house,,buy,265000.0,£,265000.0,265000.0,fixed,0,51.3645,-2.93142,9,0,"Garden, Semi-Detached, Garage",,3,0,Semi detached house on worle hillside. Three bedrooms. Two recs. Lo...,2,2019-06-17 16:02:17,"{'latitude': 51.3645, 'longitude': -2.93142}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Summerland Avenue, Minehead, Somerset, TA24",flat,,buy,155000.0,£,155000.0,155000.0,fixed,0,51.2058,-3.47319,9,0,"Leasehold, Maisonette, Conversion",,3,0,A self contained converted first and second floor maisonette situat...,2,2019-06-17 16:02:17,"{'latitude': 51.2058, 'longitude': -3.47319}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Summerland Avenue, Minehead, Somerset, TA24",flat,,buy,129950.0,£,129950.0,129950.0,fixed,0,51.2058,-3.47319,9,0,"Leasehold, Conversion",,1,0,A well maintained and modernised converted self-contained one bedro...,2,2019-06-17 16:02:17,"{'latitude': 51.2058, 'longitude': -3.47319}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Ashcott Drive, Burnham-on-Sea, Somerset, TA8",house,Greenslade Taylor Hunt,buy,249950.0,£,249950.0,249950.0,fixed,0,51.2324,-2.98746,9,0,"Freehold, Garden, Semi-Detached, Garage, Bungalow, Cul-de-Sac",,3,0,This flexible and versatile 3 bedroom semi detached dormer style bu...,4,2019-06-17 16:02:17,"{'latitude': 51.2324, 'longitude': -2.98746}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Market Place, Castle Cary, Somerset, BA7",house,Greenslade Taylor Hunt,buy,700000.0,£,700000.0,700000.0,fixed,0,51.0894,-2.51377,9,0,"Freehold, Garden, Grade II, Terraced, Georgian, Listed",,5,0,"A , georgian, grade ii listed, five bedroom family home with garagi...",2,2019-06-17 16:02:17,"{'latitude': 51.0894, 'longitude': -2.51377}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,Timberscombe SOMERSET,house,,buy,765000.0,£,765000.0,765000.0,fixed,0,51.1727,-3.48477,9,0,,,4,0,"A highly , period four bedroom house, available with approx. 15 or ...",2,2019-06-17 16:02:17,"{'latitude': 51.1727, 'longitude': -3.48477}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Winsford, Minehead, Somerset, TA24",house,Stags,buy,475000.0,£,475000.0,475000.0,fixed,0,51.1055,-3.56543,9,0,"Garden, Semi-Detached, Garage",,5,0,A versatile 5 bedroom home with gardens and woodland in the heart o...,2,2019-06-17 16:02:17,"{'latitude': 51.1055, 'longitude': -3.56543}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Meadow Close, Kingston St. Mary, Taunton, Somerset, TA2",house,Greenslade Taylor Hunt,buy,425000.0,£,425000.0,425000.0,fixed,0,51.0599,-3.11366,9,0,"Detached, Freehold, Bungalow, Cul-de-Sac",,3,0,A modernised 3 bedroomed detached bungalow set in a small cul de sa...,5,2019-06-17 16:02:17,"{'latitude': 51.0599, 'longitude': -3.11366}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Over Stowey, Bridgwater, Somerset, TA5",house,Stags,buy,2000000.0,£,2000000.0,2000000.0,fixed,0,51.1402,-3.16509,9,0,"Detached, Garden, En suite, Garage, Kitchen, Swimming Pool, Reception, Georgian",,9,0,An georgian vicarage with landscaped gardens and grounds extending ...,5,2019-06-17 16:02:17,"{'latitude': 51.1402, 'longitude': -3.16509}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Banwell, North Somerset",property,David James,buy,85000.0,£,85000.0,85000.0,fixed,0,51.3421,-2.86944,9,0,,,0,0,An opportunity to purchase a self-contained 1.58 acre paddock with ...,2,2019-06-17 16:02:17,"{'latitude': 51.3421, 'longitude': -2.86944}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Chico, Lipe Lane, Henlade, Taunton, Somerset",house,Newton King,buy,345000.0,£,345000.0,345000.0,fixed,0,51.0122,-3.04289,9,0,"Detached, Double Bedroom, Kitchen, Bungalow",,3,0,"2/3 bedroom detached bungalow situated in a semi-rural location, of...",5,2019-06-17 16:02:17,"{'latitude': 51.0122, 'longitude': -3.04289}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Montacute Circus, Weston-Super-Mare, North Somerset, BS24",flat,,buy,139995.0,£,139995.0,139995.0,fixed,0,51.3491,-2.92375,9,0,"Double Bedroom, Garage, Kitchen",,1,0,A opportunity for a first time buyer or investor. A well presented ...,3,2019-06-17 16:02:17,"{'latitude': 51.3491, 'longitude': -2.92375}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"West Street, Axbridge, Somerset, BS26",house,Knight Frank,buy,600000.0,£,600000.0,600000.0,fixed,0,51.28789,-2.820584,9,0,"Garden, Georgian",,5,0,5 bedroom town house with views in bs26. Pretty georgian town house...,3,2019-06-17 16:02:17,"{'latitude': 51.28789, 'longitude': -2.820584}"
uk,somerset,3,realestate,property,nestoria_rank,1560787337,"Naish Road, Burnham-on-Sea, Somerset",house,,buy,249950.0,£,249950.0,249950.0,fixed,0,51.2553,-3.00164,9,0,"Detached, Modern, Parking, Gas Central Heating",,3,0,A modern 3 bedroom detached house with the benefit of gas central h...,4,2019-06-17 16:02:17,"{'latitude': 51.2553, 'longitude': -3.00164}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Winpenny Lane, Kingston St Mary, Taunton, Somerset, TA2",house,Stags,buy,450000.0,£,450000.0,450000.0,fixed,0,51.06,-3.10952,9,0,"Detached, Garden, Kitchen, Bungalow, Reception",2,3,0,An individual detached bungalow with well presented accommodation i...,6,2019-06-17 16:02:19,"{'latitude': 51.06, 'longitude': -3.10952}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Blackdown View, Ilminster, Somerset, TA19",house,Greenslade Taylor Hunt,buy,190000.0,£,190000.0,190000.0,fixed,0,50.9285,-2.90568,9,0,"Freehold, Garden, Terraced, Parking",,3,0,Set on the northern fringe of blackdown view adjoining dillington f...,4,2019-06-17 16:02:19,"{'latitude': 50.9285, 'longitude': -2.90568}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Highbridge Road, Burnham-on-Sea, Somerset",house,,buy,285000.0,£,285000.0,285000.0,fixed,0,51.2309,-2.99012,9,0,"Terraced, Parking",,3,0,"A conveniently situated 3-4 bedroom terraced house, which has been ...",4,2019-06-17 16:02:19,"{'latitude': 51.2309, 'longitude': -2.99012}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Chelwood, 46-48 Hill Road, Weston-super-Mare, North Somerset. BS23",flat,,buy,145000.0,£,145000.0,145000.0,fixed,0,51.3513,-2.96849,9,0,"Balcony, Purpose Built, Garage",,2,0,Purpose built first floor flat. Two beds. Great location close to t...,3,2019-06-17 16:02:19,"{'latitude': 51.3513, 'longitude': -2.96849}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Woodhill, Stoke St. Gregory, Taunton, Somerset, TA3",house,Greenslade Taylor Hunt,buy,399000.0,£,399000.0,399000.0,fixed,0,51.043,-2.9222,9,0,"Detached, Freehold",,5,0,A successful period public house with planning consent for resident...,5,2019-06-17 16:02:19,"{'latitude': 51.043, 'longitude': -2.9222}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Long Load, Langport, Somerset, TA10",house,Stags,buy,525000.0,£,525000.0,525000.0,fixed,0,51.0072,-2.76258,9,0,"Detached, Garden, Grade II, Listed",,4,0,A characterful grade ii listed home bursting with features and a la...,4,2019-06-17 16:02:19,"{'latitude': 51.0072, 'longitude': -2.76258}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Rosedene, The Wall, MARK, Somerset",house,,buy,195000.0,£,195000.0,195000.0,fixed,0,51.2278,-2.89464,9,0,Terraced,,2,0,Rosedene is a and light mid terraced property in a sitting which wi...,4,2019-06-17 16:02:19,"{'latitude': 51.2278, 'longitude': -2.89464}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Seymour House, Wellsway, BLACKFORD, Wedmore, Somerset",house,,buy,550000.0,£,550000.0,550000.0,fixed,0,51.2212,-2.83977,9,0,Detached,,4,0,Seymour house is a and versatile family home in a position and in a...,4,2019-06-17 16:02:19,"{'latitude': 51.2212, 'longitude': -2.83977}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Highway, Ash, Martock, Somerset, TA12",house,Greenslade Taylor Hunt,buy,365000.0,£,365000.0,365000.0,fixed,0,50.984,-2.76109,9,0,"Detached, Freehold",,3,0,A ly presented detached three bedroom property enjoying fine views ...,4,2019-06-17 16:02:19,"{'latitude': 50.984, 'longitude': -2.76109}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Langford, North Somerset",land,David James,buy,250000.0,£,250000.0,250000.0,fixed,0,51.3415,-2.78486,9,0,,,,0,An opportunity to purchase a prime building plot with outline plann...,2,2019-06-17 16:02:19,"{'latitude': 51.3415, 'longitude': -2.78486}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Wheddon Cross, Exmoor, Somerset, TA24",house,Stags,buy,625000.0,£,625000.0,625000.0,fixed,0,51.1422,-3.54952,9,0,"Detached, Garden",,4,0,A detached 4 bedroom house enjoying far reaching rural views with g...,3,2019-06-17 16:02:19,"{'latitude': 51.1422, 'longitude': -3.54952}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Hillgrove Road, Priddy, Nr Wells, Somerset, BA5",land,Greenslade Taylor Hunt,buy,280000.0,£,280000.0,280000.0,fixed,0,51.2474,-2.64615,9,0,,,,0,"35.2 acres of agricultural land at hillgrove road, priddy, nr wells...",2,2019-06-17 16:02:19,"{'latitude': 51.2474, 'longitude': -2.64615}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Claycastle, Haselbury Plucknett, Crewkerne, Somerset, TA18",house,Greenslade Taylor Hunt,buy,435000.0,£,435000.0,435000.0,fixed,0,50.8934,-2.75077,9,0,"Detached, Garden, Double Bedroom, Garage, Reception",,4,0,A four double bedroom detached family home with three reception roo...,4,2019-06-17 16:02:19,"{'latitude': 50.8934, 'longitude': -2.75077}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Burton Row, Brent Knoll, Highbridge, Somerset, TA9",house,Greenslade Taylor Hunt,buy,575000.0,£,575000.0,575000.0,fixed,0,51.2613,-2.96191,9,0,"Detached, Freehold, Double Garage, Cottage",,4,0,"This most characterful, detached, stone built 4 bedroom country cot...",5,2019-06-17 16:02:19,"{'latitude': 51.2613, 'longitude': -2.96191}"
uk,somerset,4,realestate,property,nestoria_rank,1560787339,"Crawter Drive, Porlock, Minehead, Somerset, TA24",house,,buy,212500.0,£,212500.0,212500.0,fixed,0,51.2069,-3.59352,9,0,"Freehold, Garden, Semi-Detached, Garage",,3,0,A well maintained three bedroom semi detached house along with gard...,3,2019-06-17 16:02:19,"{'latitude': 51.2069, 'longitude': -3.59352}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Church Lane, Hutton, Weston-super-Mare, North Somerset. BS24",house,,buy,330000.0,£,330000.0,330000.0,fixed,0,51.3237,-2.93009,9,0,"Detached, No Chain, Garage",,3,0,Detached house. Three/four beds. Two/three recse you looking for a ...,4,2019-06-17 16:02:25,"{'latitude': 51.3237, 'longitude': -2.93009}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Langaller, Taunton, Somerset, TA2",house,Greenslade Taylor Hunt,buy,1250000.0,£,1250000.0,1250000.0,fixed,0,51.0365,-3.04582,9,0,"Detached, Freehold, Garden, En suite, Grade II, Listed",,10,0,An 15th century grade ii listed formal hall house providing extensi...,7,2019-06-17 16:02:25,"{'latitude': 51.0365, 'longitude': -3.04582}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Woolmersdon, North Petherton, Bridgwater, Somerset, TA5",house,Stags,buy,1500000.0,£,1500000.0,1500000.0,fixed,0,51.1012,-3.02511,9,0,"Detached, Garden, Grade II, Garage, Reception, Georgian, Listed",4,5,0,A ly presented grade ii listed georgian house with period features ...,26,2019-06-17 16:02:25,"{'latitude': 51.1012, 'longitude': -3.02511}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Newton Road, North Petherton, Bridgwater, Somerset, TA6",house,Greenslade Taylor Hunt,buy,395000.0,£,395000.0,395000.0,fixed,0,51.0877,-3.01018,9,0,"Freehold, Garden, Semi-Detached, No Chain, Cottage",,4,0,An ly presented attached period cottage set in gardens on the edge ...,8,2019-06-17 16:02:25,"{'latitude': 51.0877, 'longitude': -3.01018}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Brimgrove Lane, Shepton Beauchamp, Ilminster, Somerset, TA19",house,Stags,buy,400000.0,£,400000.0,400000.0,fixed,0,50.9541,-2.8439,9,0,"Detached, Garden, Garage",,4,0,A ly presented detached four bedroom home in a village location wit...,5,2019-06-17 16:02:25,"{'latitude': 50.9541, 'longitude': -2.8439}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Burnham Level, Burnham On Sea, Somerset, TA9",land,Greenslade Taylor Hunt,buy,65000.0,£,65000.0,65000.0,fixed,0,51.2297,-2.96984,9,0,,,,0,"9.04 acres of agricultural pasture land on burnham level, burnham o...",4,2019-06-17 16:02:25,"{'latitude': 51.2297, 'longitude': -2.96984}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Bishopswood, Chard, Somerset, TA20",house,Stags,buy,749000.0,£,749000.0,749000.0,fixed,0,50.8992,-3.06356,9,0,"Detached, Garden, Reception",,4,0,A detached farmhouse situated in a rural location with approximatel...,5,2019-06-17 16:02:25,"{'latitude': 50.8992, 'longitude': -3.06356}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Agricultural Pasture Land, Pillmoor Lane, Isleport, HIGHBRIDGE, Somerset, TA9",land,Greenslade Taylor Hunt,buy,130000.0,£,130000.0,130000.0,fixed,0,51.2231,-2.9371,9,0,,,,0,13.56 acres of agricultural pasture land strategically positioned o...,4,2019-06-17 16:02:25,"{'latitude': 51.2231, 'longitude': -2.9371}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"St. Thomas Mews, North Road, Wells, Somerset, BA5",house,Greenslade Taylor Hunt,buy,359950.0,£,359950.0,359950.0,fixed,0,51.2136,-2.63874,9,0,"No Chain, Terraced, Garage, Modern",,3,0,"No onward chain. A modern and townhouse, conveniently located in a ...",4,2019-06-17 16:02:25,"{'latitude': 51.2136, 'longitude': -2.63874}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Tower View, Horsington, Templecombe, Somerset, BA8",house,Greenslade Taylor Hunt,buy,235000.0,£,235000.0,235000.0,fixed,0,51.0165,-2.43571,9,0,"Needs Modernisation, Semi-Detached, No Chain, Parking",,3,0,"A most three bedroom semi detached home in need of modernisation, o...",3,2019-06-17 16:02:25,"{'latitude': 51.0165, 'longitude': -2.43571}"
uk,somerset,5,realestate,property,nestoria_rank,1560787345,"Bishopswood, Chard, Somerset, TA20",house,Greenslade Taylor Hunt,buy,375000.0,£,375000.0,375000.0,fixed,0,50.9095,-3.05893,9,0,Detached,,3,0,A 3 bedroom detached house with glorious views in a desirable villa...,5,2019-06-17 16:02:25,"{'latitude': 50.9095, 'longitude': -3.05893}"
